Date,heart
2018-09-25 22:11:40,68
2018-09-25 22:11:50,66
2018-09-25 22:12:00,69
2018-09-25 22:12:05,68
2018-09-25 22:12:10,66
2018-09-25 22:12:15,67
2018-09-25 22:12:20,66
2018-09-25 22:12:30,67
2018-09-25 22:12:40,66
2018-09-25 22:12:50,67
2018-09-25 22:12:55,68
2018-09-25 22:13:05,67
2018-09-25 22:13:15,68
2018-09-25 22:13:20,67
2018-09-25 22:13:25,68
2018-09-25 22:13:30,70
2018-09-25 22:13:37,68
2018-09-25 22:13:47,67
2018-09-25 22:13:57,69
2018-09-25 22:14:02,64
2018-09-25 22:14:07,66
2018-09-25 22:14:12,65
2018-09-25 22:14:17,66
2018-09-25 22:14:27,67
2018-09-25 22:14:32,66
2018-09-25 22:14:47,67
2018-09-25 22:14:57,66
2018-09-25 22:15:02,67
2018-09-25 22:15:17,67
2018-09-25 22:15:22,66
2018-09-25 22:15:32,67
2018-09-25 22:15:37,68
2018-09-25 22:15:47,67
2018-09-25 22:15:57,66
2018-09-25 22:16:02,64
2018-09-25 22:16:07,65
2018-09-25 22:16:12,66
2018-09-25 22:16:17,67
2018-09-25 22:16:22,68
2018-09-25 22:16:27,69
2018-09-25 22:16:32,66
2018-09-25 22:16:42,67
2018-09-25 22:16:47,66
2018-09-25 22:16:54,66
2018-09-25 22:17:09,67
2018-09-25 22:17:19,68
2018-09-25 22:17:24,67
2018-09-25 22:17:29,66
2018-09-25 22:17:34,67
2018-09-25 22:17:39,68
2018-09-25 22:17:44,67
2018-09-25 22:17:49,66
2018-09-25 22:17:59,67
2018-09-25 22:18:09,66
2018-09-25 22:18:19,67
2018-09-25 22:18:34,66
2018-09-25 22:18:44,69
2018-09-25 22:18:49,67
2018-09-25 22:18:54,64
2018-09-25 22:18:59,65
2018-09-25 22:19:04,67
2018-09-25 22:19:19,68
2018-09-25 22:19:29,66
2018-09-25 22:19:39,65
2018-09-25 22:19:44,64
2018-09-25 22:19:59,64
2018-09-25 22:20:04,66
2018-09-25 22:20:09,68
2018-09-25 22:20:14,69
2018-09-25 22:20:19,73
2018-09-25 22:20:25,77
2018-09-25 22:20:30,69
2018-09-25 22:20:35,67
2018-09-25 22:20:45,64
2018-09-25 22:20:50,65
2018-09-25 22:21:00,66
2018-09-25 22:21:05,65
2018-09-25 22:21:10,66
2018-09-25 22:21:20,65
2018-09-25 22:21:35,65
2018-09-25 22:21:40,66
2018-09-25 22:21:50,64
2018-09-25 22:21:55,66
2018-09-25 22:22:00,67
2018-09-25 22:22:10,68
2018-09-25 22:22:15,66
2018-09-25 22:22:25,67
2018-09-25 22:22:30,66
2018-09-25 22:22:35,67
2018-09-25 22:22:45,66
2018-09-25 22:22:50,67
2018-09-25 22:22:55,66
2018-09-25 22:23:05,64
2018-09-25 22:23:15,66
2018-09-25 22:23:30,66
2018-09-25 22:23:35,66
2018-09-25 22:23:40,64
2018-09-25 22:23:47,65
